,UUT_COMMAND_TLM_PACKET_TIMESECONDS,UUT_COMMAND_TLM_PACKET_TIMEFORMATTED,UUT_COMMAND_TLM_RECEIVED_TIMESECONDS,UUT_COMMAND_TLM_RECEIVED_TIMEFORMATTED,UUT_COMMAND_TLM_RECEIVED_COUNT,UUT_COMMAND_TLM_SYNC,UUT_COMMAND_TLM_MSG_ID,UUT_COMMAND_TLM_LEN,UUT_COMMAND_TLM_SEQ,UUT_COMMAND_TLM_CCSDS_TAI_SECS,UUT_COMMAND_TLM_CCSDS_TAI_SUBSECS,UUT_COMMAND_TLM_CCSDS_REALTIME,UUT_COMMAND_TLM_REALTIME_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_REALTIME_CMD_REJECT_COUNT,UUT_COMMAND_TLM_STORED_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_STORED_CMD_REJECT_COUNT,UUT_COMMAND_TLM_SEQUENCE_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_SEQUENCE_CMD_REJECT_COUNT,UUT_COMMAND_TLM_STORED_TIMED_CMDS_ENABLED,UUT_COMMAND_TLM_MACROS_ENABLED,UUT_TIME_TAI_SECONDS,UUT_TIME_TIME_VALID,UUT_CLOCK_SYNC_HR_RUN_COUNT,UUT_GENERAL_VOLUME_PERCENT_USED,UUT_GENERAL_MEM_TOTAL,UUT_GENERAL_MEM_FREE,UUT_GENERAL_MEM_AVAILABLE,UUT_ANALOGS_DET_TEMP,UUT_ANALOGS_MOTOR1_TEMP,UUT_ANALOGS_MOTOR2_TEMP,UUT_ANALOGS_MOTOR3_TEMP,UUT_ANALOGS_BATTERY_VOLTAGE,UUT_ANALOGS_BATTERY1_TEMP,UUT_ANALOGS_BUS_TEMP,UUT_ANALOGS_PAYLOAD_TEMP,UUT_ANALOGS_5V_MON,UUT_ANALOGS_3V3_MON,UUT_ANALOGS_V3_9V_MON,UUT_ANALOGS_V4_9V_MON,UUT_ANALOGS_5V_CURR_MON,UUT_ANALOGS_3V3_CURR_MON,UUT_ANALOGS_V3_9V_CURR_MON,UUT_ANALOGS_V4_9V_CURR_MON,UUT_ANALOGS_5V_AUX_MON,UUT_ANALOGS_VSOLAR_MON,UUT_ANALOGS_BB_TEMP_MON,UUT_ANALOGS_BUCK_TEMP_MON,UUT_ANALOGS_I_SOLAR_MON,UUT_ANALOGS_I_BAT1_MON,UUT_ANALOGS_I_CHG_MON,UUT_POWER_HEATER_STATUS1,UUT_REFS_TIME_NOW,UUT_REFS_POSITION_WRT_ECEF1,UUT_REFS_POSITION_WRT_ECEF2,UUT_REFS_POSITION_WRT_ECEF3,UUT_REFS_VELOCITY_WRT_ECEF1,UUT_REFS_VELOCITY_WRT_ECEF2,UUT_REFS_VELOCITY_WRT_ECEF3,UUT_REFS_POSITION_WRT_ECI1,UUT_REFS_POSITION_WRT_ECI2,UUT_REFS_POSITION_WRT_ECI3,UUT_REFS_VELOCITY_WRT_ECI1,UUT_REFS_VELOCITY_WRT_ECI2,UUT_REFS_VELOCITY_WRT_ECI3,UUT_REFS_REFS_VALID,UUT_GPS_GPS_TIME,UUT_GPS_GPS_POSITION_ECEF1,UUT_GPS_GPS_POSITION_ECEF2,UUT_GPS_GPS_POSITION_ECEF3,UUT_GPS_GPS_VELOCITY_ECEF1,UUT_GPS_GPS_VELOCITY_ECEF2,UUT_GPS_GPS_VELOCITY_ECEF3,UUT_GPS_MSG_GPS_TEMP1,UUT_GPS_MSG_GPS_TEMP2,UUT_GPS_MSG_USED_SATELLITES,UUT_GPS_GPS_POS_LOCK,UUT_GPS_GPS_TIME_LOCK,UUT_GPS_MSG_DATA_VALID,UUT_GPS_GPS_NEW_DATA_RECEIVED,UUT_GPS_GPS_ENABLE,UUT_GPS_GPS_VALID,UUT_ATT_CMD_ADCS_MODE,UUT_ATT_CMD_RECOMMEND_SUN_POINT,UUT_ATT_CMD_SUN_POINT_REASON,UUT_ATT_CTRL_SUN_POINT_ANGLE_ERROR,UUT_ATT_CTRL_SUN_POINT_STATE,UUT_ATT_CTRL_MOMENTUM_TOO_HIGH,UUT_ATT_CTRL_ATT_CTRL_ACTIVE,UUT_ATT_DET_Q_BODY_WRT_ECI1,UUT_ATT_DET_Q_BODY_WRT_ECI2,UUT_ATT_DET_Q_BODY_WRT_ECI3,UUT_ATT_DET_Q_BODY_WRT_ECI4,UUT_ATT_DET_BODY_RATE1,UUT_ATT_DET_BODY_RATE2,UUT_ATT_DET_BODY_RATE3,UUT_ATT_DET_MEAS_RATE_VALID,UUT_ATT_DET_MEAS_ATT_VALID,UUT_ATT_DET_ATTITUDE_VALID,UUT_ATT_DET_REINIT_COUNT,UUT_CSS_CSS_INVALID_COUNT,UUT_MOMENTUM_TOTAL_MOMENTUM_MAG,UUT_MOMENTUM_DUTY_CYCLE1,UUT_MOMENTUM_DUTY_CYCLE2,UUT_MOMENTUM_DUTY_CYCLE3,UUT_MOMENTUM_TORQUE_ROD_MODE1,UUT_MOMENTUM_TORQUE_ROD_MODE2,UUT_MOMENTUM_TORQUE_ROD_MODE3,UUT_TRACKER_ATTITUDE_ST1,UUT_TRACKER_ATTITUDE_ST2,UUT_TRACKER_ATTITUDE_ST3,UUT_TRACKER_ATTITUDE_ST4,UUT_TRACKER_RATE_EST1,UUT_TRACKER_RATE_EST2,UUT_TRACKER_RATE_EST3,UUT_TRACKER_PEAK_BCKGND_ALL_TRK_BLKS,UUT_TRACKER_MEDIAN_BCKGND_ALL_TRK_BLKS,UUT_TRACKER_OPERATING_MODE,UUT_TRACKER_ATT_STATUS,UUT_TRACKER_NUM_ATTITUDE_STARS,UUT_TRACKER_NUM_TRACK_STARS,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT1,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT2,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT4,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT5,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT6,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT7,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT8,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT9,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT10,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT13,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT14,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT15,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT16,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT17,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT18,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT19,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT20,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT21,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT22,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT23,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT29,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT30,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT37,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT38,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT40,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT41,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT42,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT1,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT2,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT13,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT14,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT15,UUT_REFS_NADIR_VECTOR_BODY1,UUT_REFS_NADIR_VECTOR_BODY2,UUT_REFS_NADIR_VECTOR_BODY3,UUT_REFS_MODELED_SUN_VECTOR_BODY1,UUT_REFS_MODELED_SUN_VECTOR_BODY2,UUT_REFS_MODELED_SUN_VECTOR_BODY3,UUT_REFS_MOON_VECTOR_BODY1,UUT_REFS_MOON_VECTOR_BODY2,UUT_REFS_MOON_VECTOR_BODY3,timestamp_
0,1665594628.83087,44846.5489447917,1665594628.83087,44846.5489447917,22048,1.35822722913205e+19,1,512,1,718909865,0.2,REALTIME,87,0,38,0,0,0,EN,EN,718909865.199998,YES,14297888,25,85,16,19,15.2000001899999,11.8449997630999,12.9399997412,12.3549997529,12.0860006043,13.9249997214999,11.53850046154,7.59650030386,4.98550019942,3.32050013282,3.89650015586,3.9600001584,0.2075000083,0.65300002612,0.02450000098,0.02450000098,5.02400020096,4.1975001679,14.83700059348,14.20200056808,0.75100003004,-0.59200002368,0.0,OFF,718909865.399998,-4091.119635444,2740.91054295446,-4667.78838661056,-5.714909,-3.625753905,2.88282068,2089.21851553906,4454.32717728363,-4672.4976463751,-4.75679741,5.26275797,2.893087435,YES,718909865,-4088.83331555832,2742.36070288195,-4668.94098655293,-5.716803705,-3.624637235,2.880406795,15.7514282563999,16.6657139524,19,YES,YES,YES,YES,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,180.9989879334,NOT_ACTIVE,NO,YES,0.77361847602763,0.435272357794552,-0.0522046809559063,0.457522741849544,0.00092129,0.00080285,-1.2345e-05,YES,YES,YES,232,0,0.0025000001,11,8,31,AUTO,AUTO,AUTO,-0.854982394531249,-0.0893162373046874,-0.288742899414062,0.421491699218749,0.0009649999613999,3.99999984e-05,0.0011249999549999,232,152,TRACK,OK,37,37,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.930239976744,0.366999990825,0.000199999995,-0.707119982322,-0.707079982323,0.000159999996,0.652159983696,0.513479987163,-0.557679986058,2022-10-12 17:10:28.830870016
1,1665594631.00691,44846.5489699769,1665594631.00691,44846.5489699769,22049,1.35822722913205e+19,1,512,2,718899088,0.6,STORED,75,0,36,0,0,0,EN,EN,718899088.599996,YES,14244005,25,85,16,19,13.60000017,10.4999997899999,11.2299997754,11.1049997779,12.300000615,12.0499997589999,10.41700041668,6.33650025346,4.98550019942,3.32050013282,3.89650015586,3.9600001584,0.2075000083,0.65300002612,0.02450000098,0.02450000098,5.02400020096,18.95800075832,15.92400063696,13.40350053614,1.99050007962,0.79950003198,1.23050004922,OFF,718899088.799996,-4915.28093423594,-3203.28315983583,-3406.90694965464,0.525827665,-5.711385605,4.61786099,335.124043243796,5856.83490715824,-3407.81474960925,-5.324013195,2.99452543,4.62943718,YES,718899088,-4915.69979421499,-3198.71302006434,-3410.60000946999,0.521480705,-5.71452908,4.614378595,13.7971425812,14.7742854188,20,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,5.8589996094,NOT_ACTIVE,NO,YES,0.826540884469182,0.479271176414576,-0.0086800788263984,0.295049017099019,0.000672565,0.00076003,-2.437e-05,YES,YES,YES,232,0,0.0025000001,31,1,30,AUTO,AUTO,AUTO,-0.782430260253906,-0.0346910981445312,-0.243307665039062,0.572189475585937,0.0008149999673999,9.24999962999999e-05,0.0010599999576,220,148,TRACK,OK,32,32,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.855479978613,0.517799987055,0.000199999995,-0.707159982321,-0.707079982323,0.000119999997,0.792359980191,0.398439990039,-0.461959988451,2022-10-12 17:10:31.006910208
2,1665594631.0079,44846.5489699884,1665594631.0079,44846.5489699884,22050,1.35822722913205e+19,1,512,3,718899148,0.6,STORED,75,0,36,0,0,0,EN,EN,718899148.599997,YES,14244305,25,85,16,19,13.60000017,10.5849997883,11.249999775,11.2099997758,12.320000616,11.9499997609999,10.56350042254,6.52300026092,4.98800019952,3.32050013282,3.89650015586,3.9600001584,0.21350000854,0.65900002636,0.02450000098,0.02450000098,5.02400020096,18.41100073644,15.82550063302,13.44350053774,1.98150007926,0.54950002198,1.20350004814,OFF,718899148.799997,-4873.99299630033,-3538.54706307263,-3122.20428388977,0.850262945,-5.460245705,4.86865566,15.157939242103,6022.92049885395,-3122.41594387919,-5.33739492,2.539527885,4.880274655,YES,718899148,-4874.67137626641,-3534.17760329111,-3126.09800369509,0.84601483,-5.46373704,4.865466105,13.85714258,14.7742854188,20,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,5.8469996102,NOT_ACTIVE,NO,YES,0.832682885846342,0.48522647179547,-0.0011574929768501,0.266820357163592,0.00067056,0.000736525,-2.372e-05,YES,YES,YES,232,0,0.00300000012,33,3,28,AUTO,AUTO,AUTO,-0.767647438964843,-0.0255954936523437,-0.234868699218749,0.595733979492187,0.0008099999676,7.24999970999999e-05,0.0004449999821999,220,148,TRACK,OK,34,34,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.838079979048,0.545519986362,0.000199999995,-0.707159982321,-0.707039982324,3.9999999e-05,0.812199979695,0.379359990516,-0.443159988921,2022-10-12 17:10:31.007899904
3,1665594631.11491,44846.5489712269,1665594631.11491,44846.5489712269,22051,1.35822722913205e+19,1,512,4,718899208,0.6,STORED,75,0,36,0,0,0,EN,EN,718899208.599996,YES,14244605,25,85,16,19,13.60000017,10.6899997862,11.2899997742,11.3349997733,12.300000615,11.8649997626999,10.6475004259,6.6850002674,4.98800019952,3.32050013282,3.89650015586,3.9600001584,0.2075000083,0.6350000254,0.02450000098,0.02450000098,5.02400020096,17.92300071692,15.80550063222,13.52350054094,2.10350008414,0.68350002734,1.26950005078,OFF,718899208.799996,-4813.27677933614,-3858.07160709641,-2823.11895884404,1.17328186,-5.186877505,5.09710492,-304.877124756142,6161.34243193286,-2822.63353886831,-5.326297095,2.072671795,5.108713435,YES,718899208,-4814.21329928932,-3853.92076730395,-2827.1956986402,1.169029815,-5.19062336,5.09423417,13.7971425812,14.7742854188,19,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,5.8289996114,NOT_ACTIVE,NO,YES,0.838007799739843,0.490642896687141,0.0061930673761386,0.238692441726151,0.00068995,0.000711595,-4.4005e-05,YES,YES,YES,232,0,0.00300000012,34,6,26,AUTO,AUTO,AUTO,-0.752377817871093,-0.0165304301757812,-0.226319900390625,0.618412213867187,0.0007799999687999,9.74999960999999e-05,0.0003174999873,220,148,TRACK,OK,32,32,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.819359979516,0.573279985668,0.000159999996,-0.707159982321,-0.707039982324,0.000119999997,0.830919979227,0.361319990967,-0.423119989422,2022-10-12 17:10:31.114909952
4,1665594631.32791,44846.5489736921,1665594631.32791,44846.5489736921,22052,1.35822722913205e+19,1,512,5,718899268,0.6,STORED,75,0,36,0,0,0,EN,EN,718899268.599996,YES,14244905,25,85,16,19,13.60000017,10.7949997841,11.3749997724999,11.4549997708999,12.300000615,11.7849997642999,10.68900042756,6.84650027386,4.98800019952,3.32050013282,3.90150015606,3.9600001584,0.20150000806,0.65300002612,0.02450000098,0.02450000098,5.02400020096,17.59100070364,15.80550063222,13.62350054494,2.075000083,0.54300002172,1.26700005068,OFF,718899268.799996,-4733.2556033372,-4160.55601197218,-2511.02297444884,1.49349897,-4.8924785,5.30212838,-623.510608824467,6271.45082642744,-2509.84269450785,-5.29068395,1.596159855,5.31367299,YES,718899268,-4734.44822327757,-4156.64097216794,-2515.2638142368,1.48927585,-4.896542615,5.299545335,13.9799997203999,14.8971425591999,19,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,5.8469996102,NOT_ACTIVE,NO,YES,0.842503894149921,0.495587418588251,0.0134802822303943,0.210709613785807,0.00070503,0.00074348,1.476e-05,YES,YES,YES,232,0,0.00300000012,33,10,22,AUTO,AUTO,AUTO,-0.736625784667968,-0.0076182768554687,-0.217654291503906,0.640274179199218,0.0008024999679,8.99999964e-05,0.0005849999766,220,152,TRACK,OK,32,32,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.799399980015,0.60079998498,0.000159999996,-0.707159982321,-0.707079982323,0.000119999997,0.848519978787,0.34439999139,-0.401719989957,2022-10-12 17:10:31.327909888
5,1665594631.44192,44846.5489750116,1665594631.44192,44846.5489750116,22053,1.35822722913205e+19,1,512,6,718899328,0.6,STORED,75,0,36,0,0,0,EN,EN,718899328.599996,YES,14245205,25,85,16,19,13.60000017,10.9399997812,11.4549997708999,11.5799997683999,12.300000615,11.7449997651,10.8975004359,6.96100027844,4.98800019952,3.32050013282,3.90150015606,3.9600001584,0.19550000782,0.65300002612,0.02450000098,0.02450000098,5.02400020096,17.41550069662,15.72650062906,13.70350054814,1.87800007512,0.43950001758,0.92300003692,OFF,718899328.799996,-4634.1316682934,-4444.77791776109,-2187.35169063241,1.809788475,-4.578357355,5.482795155,-939.278773036059,6352.72842236356,-2185.48195072589,-5.230804375,1.112045635,5.494222915,YES,718899328,-4635.57914822103,-4441.11503794423,-2191.73719041313,1.80556555,-4.582666695,5.48050788,14.0428568619999,14.957142558,19,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,5.819999612,NOT_ACTIVE,NO,YES,0.846241229575175,0.500021799999563,0.0206958790860824,0.182826751343464,0.00062601,0.00069327,-2.8395e-05,YES,YES,YES,232,0,0.0025000001,33,13,19,AUTO,AUTO,AUTO,-0.720377828613281,0.0012854521484375,-0.208889755859375,0.661376747070312,0.0008124999675,0.0001624999935,0.0010699999572,220,148,TRACK,OK,33,33,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.778119980547,0.628079984298,0.000199999995,-0.707159982321,-0.707039982324,7.9999998e-05,0.865079978373,0.328479991788,-0.379119990522,2022-10-12 17:10:31.441920000
6,1665594631.65793,44846.5489775116,1665594631.65793,44846.5489775116,22054,1.35822722913205e+19,1,512,7,718899388,0.6,STORED,75,0,36,0,0,0,EN,EN,718899388.599997,YES,14245505,25,85,15,19,13.60000017,11.0649997786999,11.5599997688,11.7249997655,12.320000616,11.7049997658999,11.02200044088,7.12100028484,4.98800019952,3.32050013282,3.89650015586,3.9600001584,0.2075000083,0.6350000254,0.02450000098,0.02450000098,5.02400020096,17.16150068646,15.72650062906,13.76350055054,2.04700008188,0.34200001368,1.05200004208,OFF,718899388.799997,-4516.19065419045,-4709.59522452022,-1853.59294732034,2.120639585,-4.245910095,5.63822436,-1250.72635746367,6404.79489976023,-1851.04236744787,-5.14679832,0.622740875,5.64948256,YES,718899388,-4517.88501410573,-4706.19578469019,-1858.10164709491,2.116562115,-4.250457675,5.63634738,14.1628568596,15.1399996971999,18,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,5.834999611,NOT_ACTIVE,NO,YES,0.849214310515713,0.504028614419427,0.0278346424433071,0.154969041900619,0.000755565,0.000581445,0.00011478,YES,YES,YES,232,0,0.0025000001,31,17,15,AUTO,AUTO,AUTO,-0.7036284453125,0.0100304775390624,-0.200046689941406,0.681753417480468,0.0007524999699,0.0001274999949,0.0008124999675,220,148,TRACK,OK,36,36,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.755759981106,0.654839983629,0.000199999995,-0.707159982321,-0.707079982323,7.9999998e-05,0.880519977987,0.313679992158,-0.355359991116,2022-10-12 17:10:31.657929984
7,1665594631.76191,44846.5489787153,1665594631.76191,44846.5489787153,22055,1.35822722913205e+19,1,512,8,718899448,0.6,STORED,75,0,36,0,0,0,EN,EN,718899448.599997,YES,14245805,25,85,15,19,13.60000017,11.1899997761999,11.6799997664,11.8649997626999,12.300000615,11.6599997667999,11.1050004442,7.34850029394,4.98800019952,3.32050013282,3.90150015606,3.9600001584,0.2075000083,0.64100002564,0.02450000098,0.02450000098,5.02400020096,16.94700067788,15.78600063144,13.88300055532,1.8125000725,0.40900001636,0.97400003896,OFF,718899448.799997,-4379.79300101033,-4953.95901230203,-1511.28078443595,2.42449999,-3.89730246,5.76766002,-1556.42482217875,6427.40691862963,-1508.06108459694,-5.039460625,0.131126325,5.77869761,YES,718899448,-4381.72936091352,-4950.83617245817,-1515.8938442053,2.42049466,-3.902022125,5.766134735,14.2857139999999,15.2028568387999,17,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,5.864999609,NOT_ACTIVE,NO,YES,0.85146597697068,0.507568342848633,0.0349112808017743,0.127126826457463,0.00066414,0.000619575,-9.6065e-05,YES,YES,YES,232,0,0.0025000001,28,20,11,AUTO,AUTO,AUTO,-0.686374049316406,0.0187509975585937,-0.191080684082031,0.701446531738281,0.0007574999697,0.0001199999951999,0.0002274999908999,220,148,TRACK,OK,37,38,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.732279981693,0.681039982974,0.000199999995,-0.707159982321,-0.707039982324,7.9999998e-05,0.894879977628,0.299839992504,-0.330519991737,2022-10-12 17:10:31.761910016
8,1665594631.98592,44846.5489813079,1665594631.98592,44846.5489813079,22056,1.35822722913205e+19,1,512,9,718899508,0.6,STORED,75,0,36,0,0,0,EN,EN,718899508.599996,YES,14246105,25,85,15,19,13.60000017,11.3349997733,11.8049997639,12.0099997598,12.300000615,11.6399997671999,11.37400045496,7.55150030206,4.98800019952,3.32050013282,3.89650015586,3.9600001584,0.2075000083,0.64100002564,0.02450000098,0.02450000098,5.02400020096,16.77100067084,15.88450063538,13.98300055932,1.91550007662,0.4275000171,0.96450003858,OFF,718899508.799996,-4225.36094873194,-5176.87872115605,-1161.99528190023,2.721302785,-3.531903535,5.870612275,-1854.9537672523,6420.42699897863,-1158.12130209393,-4.90818503,-0.362745725,5.88137688,YES,718899508,-4227.53748862311,-5174.05144129741,-1166.69110166544,2.717309405,-3.5369175,5.869404145,14.4085711404,15.3228568364,16,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,5.879999608,NOT_ACTIVE,NO,YES,0.852998654940026,0.510669554286608,0.0419630631607387,0.0992419370151612,0.000682355,0.00069437,-0.000178715,YES,YES,YES,232,0,0.0025000001,25,22,7,AUTO,AUTO,AUTO,-0.66857888671875,0.0274664340820312,-0.181954340820312,0.720514041992187,0.0007974999680999,7.74999969e-05,0.000724999971,220,148,TRACK,OK,32,32,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.707759982306,0.706439982339,0.000199999995,-0.707159982321,-0.707039982324,3.9999999e-05,0.908199977295,0.287079992823,-0.304559992386,2022-10-12 17:10:31.985920000
9,1665594632.08892,44846.5489825,1665594632.08892,44846.5489825,22057,1.35822722913205e+19,1,512,10,718899568,0.6,STORED,75,0,36,0,0,0,EN,EN,718899568.599997,YES,14246405,25,85,15,19,14.40000018,11.4549997708999,11.9499997609999,12.149999757,12.320000616,11.6399997671999,11.45600045824,7.66400030656,4.98800019952,3.32050013282,3.90150015606,3.9600001584,0.19550000782,0.64100002564,0.02450000098,0.02450000098,5.02400020096,16.65400066616,15.98300063932,14.16200056648,1.9625000785,0.4700000188,0.98650003946,OFF,718899568.799997,-4053.42449732876,-5377.50717112462,-807.347579632618,3.008364345,-3.153559365,5.94641056,-2144.94709275264,6383.90932080451,-802.837139858141,-4.754589355,-0.85412702,5.956853195,YES,718899568,-4055.82811720858,-5374.98133125091,-812.104079394794,3.00467094,-3.15869834,5.9455972,14.5914282795999,15.5057139755999,16,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,5.8409996106,NOT_ACTIVE,NO,YES,0.85380793792384,0.513362064232758,0.0489458770210824,0.0712436510751269,0.000588665,0.00080998,-2.989e-05,YES,YES,YES,232,0,0.0025000001,22,23,3,AUTO,AUTO,AUTO,-0.6502241328125,0.0361382958984375,-0.172664900390625,0.738978642089843,0.0007649999694,0.0001199999951999,6.74999973e-05,220,148,TRACK,OK,32,32,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.68239998294,0.730959981726,0.000159999996,-0.707159982321,-0.707039982324,7.9999998e-05,0.920359976991,0.275399993115,-0.277639993059,2022-10-12 17:10:32.088920064
10,1665594632.31398,44846.5489851042,1665594632.31398,44846.5489851042,22058,1.35822722913205e+19,1,512,11,718899628,0.6,STORED,75,0,36,0,0,0,EN,EN,718899628.599997,YES,14246705,25,85,15,19,14.40000018,11.5799997683999,12.0899997582,12.2749997545,12.300000615,11.6399997671999,11.57950046318,7.91050031642,4.98800019952,3.32050013282,3.90150015606,3.9600001584,0.2075000083,0.6350000254,0.02450000098,0.02450000098,5.02400020096,16.55650066226,16.12150064486,14.32100057284,1.98150007926,0.48850001954,1.03050004122,OFF,718899628.799997,-3864.55276677235,-5555.05508224723,-448.973237551337,3.285339335,-2.762992695,5.994771775,-2425.06493874674,6317.99348410031,-443.847097807644,-4.57910574,-1.34198915,6.00484438,YES,718899628,-3867.17936664102,-5552.84208235788,-453.768197311588,3.28172909,-2.76827378,5.994388595,14.7742854188,15.6885711147999,16,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,5.8739996084,NOT_ACTIVE,NO,YES,0.853905895921881,0.51560798768784,0.0559332098813357,0.043180546636389,0.00066027,0.00058521,0.00015686,YES,YES,YES,232,0,0.0025000001,16,25,1,AUTO,AUTO,AUTO,-0.631285921875,0.0447892221679687,-0.163225358398437,0.756855001464843,0.0007824999687,5.24999979e-05,0.0003099999876,472,148,TRACK,OK,42,42,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.656279983593,0.754519981137,0.000239999994,-0.70719998232,-0.707039982324,3.9999999e-05,0.931439976714,0.26479999338,-0.249679993758,2022-10-12 17:10:32.313980160
